product_url,product_name,product_price,product_rating,product_num_reviews,page
https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697612717&sprefix=ba%2Caps%2C283&sr=8-20,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 LTR Hedge Polyester - Black- Medium,"₹1,329",3.8,1336,1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDIwODk0OTEyODgwNjU1OjE2OTc2MTI3MTc6c3BfYnRmOjIwMTQ2NTQzMDk0NDk4OjowOjo&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697612717%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹549,3.9,17605,1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDIwODk0OTEyODgwNjU1OjE2OTc2MTI3MTc6c3BfYnRmOjIwMDYzNzgyNDMyMDk4OjowOjo&url=%2FBackpack-Business-Water-resistant-Anti-theft-Charging%2Fdp%2FB0B6FLWDW9%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697612717%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Arctic Hunter Backpack for Men Stylish 15.6-inch Laptop Bag Shockproof PU Coating Water-resistant Anti-theft 25L Padded Backpack for Office College and Daily Use,Black","₹3,324",4.9,17,1
https://aax-eu.amazon.in/x/c/RCQCYzaNvkaBlyFzfRGXIlIAAAGLQZpeTQMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAoNACf/https://www.amazon.in/WALKENT-Stylish-Premium-Leather-Waterproof/dp/B09Q172X7J/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.7d6d801d-0b91-42f0-9ded-a1900c21a285%3Aamzn1.sym.7d6d801d-0b91-42f0-9ded-a1900c21a285&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09Q172X7J&pd_rd_r=3d61c522-31a8-4acc-8b64-8d5e91bb8759&pd_rd_w=xq4RI&pd_rd_wg=KUBrG&pf_rd_p=7d6d801d-0b91-42f0-9ded-a1900c21a285&pf_rd_r=KJTDMBH1FHSEQM4G9ZW5&qid=1697612717&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-25dedf61-9bde-4412-952b-c956ef4fc546,"WALKENT Stylish 15.6"" Large Laptop Bag | Premium Leather | Flap & Zipper Closure | Waterproof | USB | Side Pockets |for Men, Women, Office, College - Ritzy (28 LTR, 1 Main Compartment)","₹2,751",4.3,173,1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTQzNTM5OTY3MDUyNjU1OjE2OTc2MTI3NjY6c3BfYXRmX25leHQ6MzAwMDY3ODg3NDE2MjMyOjowOjo&url=%2FLaptops-College-Backpack-Charging-Anti-Theft%2Fdp%2FB0C6639P8P%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697612766%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,"₹1,009",4.4,138,2
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTQzNTM5OTY3MDUyNjU1OjE2OTc2MTI3NjY6c3BfYXRmX25leHQ6MjAxMzQ3OTEzNjkwOTg6OjA6Og&url=%2FHalf-Moon-Eclipse-Backpack-Compartment%2Fdp%2FB0BZMLYH38%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697612766%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon Eclipse Unisex School Bags for Boys Girls Laptop Bag/Backpack for Men Women Daypack College Bag with Never Fading Print and 15.6 inch Laptop Compartment,₹529,3.6,16,2
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-19,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹689,3.9,3849,2
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-20,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹639,4.1,6663,2
https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-21,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)","₹1,099",4.2,1530,2
https://www.amazon.in/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1697612766&sprefix=ba%2Caps%2C283&sr=8-22,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,₹529,3.5,353,2
